branch_id,plant_id,orientation,farmer,plot_type,fert_trt,shd_trt,jun_frt,dec_dieback,binom_dieback
1223,42,E,Fernando,lshd,l,shd,48,n,0
1224,42,W,Fernando,lshd,l,shd,69,n,0
1225,43,N,Fernando,lshd,l,shd,103,n,0
1226,43,S,Fernando,lshd,l,shd,86,n,0
1227,43,E,Fernando,lshd,l,shd,154,n,0
1228,43,W,Fernando,lshd,l,shd,234,n,0
1229,44,N,Fernando,lshd,l,shd,46,y,1
1230,44,S,Fernando,lshd,l,shd,86,n,0
1231,44,E,Fernando,lshd,l,shd,81,y,1
1232,44,W,Fernando,lshd,l,shd,47,n,0
1233,45,N,Fernando,lsun,l,sun,92,n,0
1234,45,S,Fernando,lsun,l,sun,154,n,0
1235,45,E,Fernando,lsun,l,sun,96,n,0
1236,45,W,Fernando,lsun,l,sun,86,n,0
1237,46,N,Fernando,lsun,l,sun,83,n,0
1238,46,S,Fernando,lsun,l,sun,116,n,0
1239,46,E,Fernando,lsun,l,sun,116,n,0
1240,46,W,Fernando,lsun,l,sun,80,n,0
1241,47,N,Fernando,lsun,l,sun,,na,NA
1242,47,S,Fernando,lsun,l,sun,,na,NA
1243,47,E,Fernando,lsun,l,sun,,na,NA
1244,47,W,Fernando,lsun,l,sun,,na,NA
1245,48,N,Fernando,lsun,l,sun,,na,NA
1246,48,S,Fernando,lsun,l,sun,,na,NA
1247,48,E,Fernando,lsun,l,sun,,na,NA
1248,48,W,Fernando,lsun,l,sun,,na,NA
1249,49,N,Fernando,lsun,l,sun,110,y,1
1250,49,S,Fernando,lsun,l,sun,130,y,1
1251,49,E,Fernando,lsun,l,sun,95,n,0
1252,49,W,Fernando,lsun,l,sun,105,y,1
1253,50,N,Fernando,lsun,l,sun,34,na,NA
1254,50,S,Fernando,lsun,l,sun,7,n,0
1255,50,E,Fernando,lsun,l,sun,45,n,0
1256,50,W,Fernando,lsun,l,sun,6,n,0
1257,51,N,Fernando,lsun,l,sun,29,n,0
1258,51,S,Fernando,lsun,l,sun,28,n,0
1259,51,E,Fernando,lsun,l,sun,56,n,0
1260,51,W,Fernando,lsun,l,sun,41,n,0
1261,52,N,Fernando,lsun,l,sun,46,n,0
1262,52,S,Fernando,lsun,l,sun,59,n,0
1263,52,E,Fernando,lsun,l,sun,48,n,0
1264,52,W,Fernando,lsun,l,sun,44,n,0
1265,53,N,Fernando,lsun,l,sun,,n,0
1266,53,S,Fernando,lsun,l,sun,36,n,0
1267,53,E,Fernando,lsun,l,sun,49,n,0
1268,53,W,Fernando,lsun,l,sun,15,n,0
1269,54,N,Fernando,lsun,l,sun,32,n,0
1270,54,S,Fernando,lsun,l,sun,57,n,0
1271,54,E,Fernando,lsun,l,sun,50,n,0
1272,54,W,Fernando,lsun,l,sun,53,n,0
1273,55,N,Fernando,lsun,l,sun,147,n,0
1274,55,S,Fernando,lsun,l,sun,39,n,0
1275,55,E,Fernando,lsun,l,sun,155,n,0
1276,55,W,Fernando,lsun,l,sun,13,n,0
1277,56,N,Fernando,lsun,l,sun,106,y,1
1278,56,S,Fernando,lsun,l,sun,57,n,0
1279,56,E,Fernando,lsun,l,sun,143,n,0
1280,56,W,Fernando,lsun,l,sun,39,n,0
1281,57,N,Fernando,lsun,l,sun,76,n,0
1282,57,S,Fernando,lsun,l,sun,94,n,0
1283,57,E,Fernando,lsun,l,sun,106,n,0
1284,57,W,Fernando,lsun,l,sun,147,n,0
1285,58,N,Fernando,lsun,l,sun,69,n,0
1286,58,S,Fernando,lsun,l,sun,67,n,0
1287,58,E,Fernando,lsun,l,sun,72,n,0
1288,58,W,Fernando,lsun,l,sun,132,n,0
1289,59,N,Fernando,lsun,l,sun,52,y,1
1290,59,S,Fernando,lsun,l,sun,78,n,0
1291,59,E,Fernando,lsun,l,sun,78,n,0
1292,59,W,Fernando,lsun,l,sun,86,n,0
1293,60,N,Fernando,lsun,l,sun,78,n,0
1294,60,S,Fernando,lsun,l,sun,70,n,0
1295,60,E,Fernando,lsun,l,sun,66,n,0
1296,60,W,Fernando,lsun,l,sun,83,n,0
1297,61,N,Fernando,lsun,l,sun,201,n,0
1298,61,S,Fernando,lsun,l,sun,153,n,0
1299,61,E,Fernando,lsun,l,sun,94,y,1
