Origin,Treat,Mass,LocMax
roadside,quiet,0.106,6746
roadside,quiet,0.106,6756
roadside,quiet,0.099,7311
roadside,quiet,0.099,7101
roadside,quiet,0.099,7365
roadside,quiet,0.104,11720
roadside,quiet,0.104,11221
roadside,quiet,0.111,8065
roadside,quiet,0.111,8121
roadside,quiet,0.111,7444
roadside,quiet,0.086,6997
roadside,quiet,0.086,7295
roadside,quiet,0.086,7637
roadside,quiet,0.082,9781
roadside,quiet,0.082,11111
roadside,quiet,0.082,9797
roadside,noisy,0.096,8513
roadside,noisy,0.096,8568
roadside,noisy,0.096,7823
roadside,noisy,0.096,7833
roadside,noisy,0.096,7100
roadside,noisy,0.096,7473
roadside,noisy,0.097,6852
roadside,noisy,0.097,6712
roadside,noisy,0.097,6759
roadside,noisy,0.096,8175
roadside,noisy,0.096,7037
roadside,noisy,0.096,7171
roadside,noisy,0.096,7075
roadside,noisy,0.091,7470
roadside,noisy,0.091,8235
roadside,noisy,0.1,6659
roadside,noisy,0.1,6393
roadside,noisy,0.1,6728
roadside,noisy,0.099,7460
roadside,noisy,0.099,7236
roadside,noisy,0.099,7161
roadside,noisy,0.095,7001
roadside,noisy,0.095,7138
roadside,noisy,0.097,7268
roadside,noisy,0.097,7162
roadside,noisy,0.099,6982
roadside,noisy,0.099,6706
roadside,noisy,0.099,6905
roadside,quiet,0.102,7646
roadside,quiet,0.102,7945
roadside,quiet,0.102,7657
roadside,quiet,0.109,6915
roadside,quiet,0.109,6906
roadside,quiet,0.109,6913
roadside,quiet,0.098,8711
roadside,quiet,0.098,8894
roadside,quiet,0.098,8839
roadside,quiet,0.093,7485
roadside,quiet,0.093,7371
roadside,quiet,0.093,7366
roadside,quiet,0.097,7092
roadside,quiet,0.097,6774
roadside,quiet,0.097,6941
roadside,quiet,0.096,7832
roadside,quiet,0.096,7776
roadside,quiet,0.096,7929
roadside,quiet,0.096,8030
roadside,quiet,0.092,7016
roadside,quiet,0.092,7178
roadside,quiet,0.092,7197
roadside,quiet,0.091,6305
roadside,quiet,0.091,6878
roadside,quiet,0.091,7118
roadside,quiet,0.096,6241
roadside,quiet,0.096,6237
roadside,quiet,0.096,6198
roadside,quiet,0.095,7278
roadside,quiet,0.095,7330
roadside,quiet,0.095,7568
roadside,quiet,0.092,7656
roadside,quiet,0.092,7307
roadside,quiet,0.092,7391
roadside,noisy,0.098,8973
roadside,noisy,0.098,11018
roadside,noisy,0.094,6929
roadside,noisy,0.094,6899
roadside,noisy,0.094,6542
roadside,noisy,0.094,6993
roadside,noisy,0.079,6901
roadside,noisy,0.079,7080
roadside,noisy,0.079,6517
roadside,noisy,0.09,7286
roadside,noisy,0.09,7230
roadside,noisy,0.078,7913
roadside,noisy,0.078,7582
roadside,noisy,0.078,7524
roadside,noisy,0.08,10966
roadside,noisy,0.08,10460
roadside,noisy,0.08,10015
roadside,noisy,0.088,7380
roadside,noisy,0.088,7079
roadside,quiet,0.09,6980
roadside,quiet,0.09,7049
roadside,quiet,0.09,6889
roadside,quiet,0.115,7459
roadside,quiet,0.115,7359
roadside,quiet,0.115,7277
roadside,quiet,0.08,8320
roadside,quiet,0.08,7926
roadside,quiet,0.08,8133
roadside,quiet,0.089,7397
roadside,quiet,0.089,6926
roadside,quiet,0.089,8307
roadside,quiet,0.101,8228
roadside,quiet,0.101,7320
roadside,quiet,0.101,7398
roadside,quiet,0.104,6918
roadside,quiet,0.104,6708
roadside,quiet,0.104,6650
roadside,noisy,0.086,6930
roadside,noisy,0.086,6991
roadside,noisy,0.086,6894
roadside,noisy,0.091,9084
roadside,noisy,0.091,7668
roadside,noisy,0.091,7643
roadside,noisy,0.096,6056
roadside,noisy,0.096,6294
roadside,noisy,0.096,6373
roadside,noisy,0.107,6407
roadside,noisy,0.107,6719
roadside,noisy,0.107,6465
roadside,noisy,0.094,6920
roadside,noisy,0.094,7379
roadside,noisy,0.094,7511
roadside,noisy,0.085,7964
roadside,noisy,0.085,7515
roadside,noisy,0.085,7417
roadside,noisy,0.085,7453
roadside,quiet,0.083,7887
roadside,quiet,0.083,6947
roadside,quiet,0.083,7180
roadside,quiet,0.097,8428
roadside,quiet,0.097,7312
roadside,quiet,0.097,6901
roadside,quiet,0.097,6788
non-roadside,noisy,0.095,7137
non-roadside,noisy,0.095,7104
non-roadside,noisy,0.095,7106
non-roadside,noisy,0.078,7255
non-roadside,noisy,0.078,6999
non-roadside,noisy,0.078,6898
non-roadside,noisy,0.086,6932
non-roadside,noisy,0.086,6692
non-roadside,noisy,0.086,6645
non-roadside,quiet,0.093,8300
non-roadside,quiet,0.093,8368
non-roadside,quiet,0.093,8533
non-roadside,quiet,0.093,7029
non-roadside,quiet,0.093,6839
non-roadside,quiet,0.093,7002
non-roadside,quiet,0.08,6722
non-roadside,quiet,0.08,6206
non-roadside,quiet,0.08,6409
non-roadside,quiet,0.08,6955
non-roadside,noisy,0.102,7983
non-roadside,noisy,0.102,7265
non-roadside,noisy,0.102,7522
non-roadside,noisy,0.096,6808
non-roadside,noisy,0.096,6795
non-roadside,noisy,0.096,6984
non-roadside,noisy,0.103,6909
non-roadside,noisy,0.103,6416
non-roadside,noisy,0.103,6349
non-roadside,noisy,0.1,8928
non-roadside,noisy,0.1,8909
non-roadside,noisy,0.1,8766
non-roadside,noisy,0.098,7546
non-roadside,noisy,0.098,7116
non-roadside,noisy,0.098,7126
non-roadside,noisy,0.089,7005
non-roadside,noisy,0.089,7095
non-roadside,noisy,0.089,6971
non-roadside,quiet,0.09,7101
non-roadside,quiet,0.09,6613
non-roadside,quiet,0.09,6746
non-roadside,quiet,0.103,6982
non-roadside,quiet,0.103,7093
non-roadside,quiet,0.103,6858
non-roadside,quiet,0.094,7059
non-roadside,quiet,0.094,6905
non-roadside,quiet,0.094,6987
non-roadside,quiet,0.105,6685
non-roadside,quiet,0.105,6638
non-roadside,quiet,0.105,6573
non-roadside,quiet,0.091,6875
non-roadside,quiet,0.091,7101
non-roadside,quiet,0.091,7039
non-roadside,quiet,0.091,8716
non-roadside,quiet,0.091,7787
non-roadside,quiet,0.091,7868
non-roadside,quiet,0.089,7663
non-roadside,quiet,0.089,7347
non-roadside,quiet,0.089,7654
non-roadside,quiet,0.075,7130
non-roadside,quiet,0.075,7273
non-roadside,quiet,0.075,7169
roadside,noisy,0.098,6831
roadside,noisy,0.098,6818
roadside,noisy,0.098,6583
roadside,noisy,0.094,10291
roadside,noisy,0.094,11203
roadside,noisy,0.094,11803
roadside,noisy,0.1,7036
roadside,noisy,0.1,6986
roadside,noisy,0.1,6994
roadside,noisy,0.107,6728
roadside,noisy,0.107,6645
roadside,noisy,0.107,7023
roadside,noisy,0.109,8400
roadside,noisy,0.109,8397
roadside,noisy,0.109,7646
roadside,noisy,0.086,7190
roadside,noisy,0.086,7702
roadside,noisy,0.086,8355
roadside,noisy,0.121,6839
roadside,noisy,0.121,6905
roadside,noisy,0.121,6837
roadside,noisy,0.093,8889
roadside,noisy,0.093,8530
roadside,noisy,0.093,8555
roadside,noisy,0.094,7207
roadside,noisy,0.094,7171
roadside,noisy,0.094,7178
roadside,noisy,0.093,7441
roadside,noisy,0.093,7425
roadside,noisy,0.093,7306
roadside,noisy,0.107,8244
roadside,noisy,0.107,8800
roadside,quiet,0.088,7092
roadside,quiet,0.088,7480
roadside,quiet,0.088,7570
roadside,quiet,0.108,6832
roadside,quiet,0.108,6900
roadside,quiet,0.102,6802
roadside,quiet,0.102,6590
roadside,quiet,0.102,6567
roadside,quiet,0.084,7812
roadside,quiet,0.084,7837
roadside,quiet,0.084,7817
roadside,quiet,0.09,6615
roadside,quiet,0.09,6402
roadside,quiet,0.09,6436
roadside,quiet,0.08,7009
roadside,quiet,0.08,7477
roadside,quiet,0.099,6817
roadside,quiet,0.099,6631
roadside,quiet,0.099,6825
roadside,quiet,0.079,6595
roadside,quiet,0.079,6584
roadside,quiet,0.079,5996
roadside,quiet,0.108,7549
roadside,quiet,0.108,7195
roadside,quiet,0.108,7110
roadside,quiet,0.089,6370
roadside,quiet,0.089,7077
roadside,quiet,0.089,6728
non-roadside,noisy,0.08,7261
non-roadside,noisy,0.08,7144
non-roadside,noisy,0.08,7178
non-roadside,noisy,0.094,7169
non-roadside,noisy,0.094,7092
non-roadside,noisy,0.094,6979
non-roadside,noisy,0.084,7800
non-roadside,noisy,0.084,7325
non-roadside,noisy,0.084,7316
non-roadside,noisy,0.105,7115
non-roadside,noisy,0.105,7480
non-roadside,noisy,0.105,7479
non-roadside,noisy,0.089,7182
non-roadside,noisy,0.089,7564
non-roadside,noisy,0.089,7460
non-roadside,noisy,0.076,7074
non-roadside,noisy,0.076,6794
non-roadside,noisy,0.076,8312
non-roadside,noisy,0.088,7407
non-roadside,noisy,0.115,7345
non-roadside,noisy,0.115,6803
non-roadside,noisy,0.115,6714
non-roadside,noisy,0.092,7237
non-roadside,noisy,0.092,7268
non-roadside,noisy,0.092,7838
non-roadside,noisy,0.098,6947
non-roadside,noisy,0.098,6536
non-roadside,quiet,0.098,6623
non-roadside,quiet,0.098,5736
non-roadside,quiet,0.098,6641
non-roadside,quiet,0.094,7406
non-roadside,quiet,0.094,7572
non-roadside,quiet,0.094,7346
non-roadside,quiet,0.101,7241
non-roadside,quiet,0.101,7337
non-roadside,quiet,0.101,7324
non-roadside,quiet,0.081,6938
non-roadside,quiet,0.081,7011
non-roadside,quiet,0.119,7490
non-roadside,quiet,0.119,7829
non-roadside,quiet,0.119,7587
non-roadside,quiet,0.087,6677
non-roadside,quiet,0.087,6206
roadside,noisy,0.1,7773
roadside,noisy,0.1,8249
roadside,noisy,0.1,8228
roadside,noisy,0.094,6420
roadside,noisy,0.094,6325
roadside,noisy,0.094,6309
roadside,noisy,0.1,8292
roadside,noisy,0.1,7307
roadside,noisy,0.1,7373
roadside,noisy,0.096,8886
roadside,noisy,0.096,8106
roadside,noisy,0.09,8328
roadside,noisy,0.09,8878
roadside,noisy,0.09,8914
roadside,noisy,0.121,8077
roadside,noisy,0.121,7645
roadside,noisy,0.121,8114
roadside,noisy,0.101,11182
roadside,noisy,0.101,11269
roadside,noisy,0.101,11165
roadside,quiet,0.094,6750
roadside,quiet,0.094,6717
roadside,quiet,0.094,6803
roadside,quiet,0.089,6435
roadside,quiet,0.089,6458
roadside,quiet,0.089,6576
