Site,Individual,Origin,Treatment,LocMax
BadE,BA_Lei_lei_0005,non-roadside,quiet,6726
BadE,BA_Lei_lei_0005,non-roadside,quiet,6279
BadE,BA_Lei_lei_0006,non-roadside,quiet,6940
BadE,BA_Lei_lei_0006,non-roadside,quiet,6158
BadE,BA_Lei_lei_0008,non-roadside,quiet,6519
BadE,BA_Lei_lei_0008,non-roadside,quiet,6808
BadE,BA_Lei_lei_0008,non-roadside,quiet,6864
BadE,BA_Lei_lei_0010,non-roadside,quiet,7031
BadE,BA_Lei_lei_0010,non-roadside,quiet,7369
BadE,BA_Lei_lei_0010,non-roadside,quiet,6842
Ges,GE_Lei_lei_0001,non-roadside,quiet,8300
Ges,GE_Lei_lei_0001,non-roadside,quiet,8368
Ges,GE_Lei_lei_0001,non-roadside,quiet,8533
Ges,GE_Lei_lei_0002,non-roadside,quiet,7029
Ges,GE_Lei_lei_0002,non-roadside,quiet,6839
Ges,GE_Lei_lei_0002,non-roadside,quiet,7002
Ges,GE_Lei_lei_0003,non-roadside,quiet,6722
Ges,GE_Lei_lei_0003,non-roadside,quiet,6206
Ges,GE_Lei_lei_0003,non-roadside,quiet,6409
Ges,GE_Lei_lei_0003,non-roadside,quiet,6955
Hilt,HI_Lei_lei_0001,non-roadside,quiet,7101
Hilt,HI_Lei_lei_0001,non-roadside,quiet,6613
Hilt,HI_Lei_lei_0001,non-roadside,quiet,6746
Hilt,HI_Lei_lei_0002,non-roadside,quiet,6982
Hilt,HI_Lei_lei_0002,non-roadside,quiet,7093
Hilt,HI_Lei_lei_0002,non-roadside,quiet,6858
Hilt,HI_Lei_lei_0003,non-roadside,quiet,7059
Hilt,HI_Lei_lei_0003,non-roadside,quiet,6905
Hilt,HI_Lei_lei_0003,non-roadside,quiet,6987
Hilt,HI_Lei_lei_0004,non-roadside,quiet,6685
Hilt,HI_Lei_lei_0004,non-roadside,quiet,6638
Hilt,HI_Lei_lei_0004,non-roadside,quiet,6573
Hilt,HI_Lei_lei_0005,non-roadside,quiet,6875
Hilt,HI_Lei_lei_0005,non-roadside,quiet,7101
Hilt,HI_Lei_lei_0005,non-roadside,quiet,7039
Hilt,HI_Lei_lei_0007,non-roadside,quiet,8716
Hilt,HI_Lei_lei_0007,non-roadside,quiet,7787
Hilt,HI_Lei_lei_0007,non-roadside,quiet,7868
Hilt,HI_Lei_lei_0008,non-roadside,quiet,7663
Hilt,HI_Lei_lei_0008,non-roadside,quiet,7347
Hilt,HI_Lei_lei_0009,non-roadside,quiet,7654
Hilt,HI_Lei_lei_0009,non-roadside,quiet,7130
Hilt,HI_Lei_lei_0009,non-roadside,quiet,7273
Hilt,HI_Lei_lei_0009,non-roadside,quiet,7169
Oel,OE_Lei_lei_0001,non-roadside,quiet,6623
Oel,OE_Lei_lei_0001,non-roadside,quiet,5736
Oel,OE_Lei_lei_0001,non-roadside,quiet,6641
Oel,OE_Lei_lei_0002,non-roadside,quiet,7406
Oel,OE_Lei_lei_0002,non-roadside,quiet,7572
Oel,OE_Lei_lei_0002,non-roadside,quiet,7346
Oel,OE_Lei_lei_0003,non-roadside,quiet,7241
Oel,OE_Lei_lei_0003,non-roadside,quiet,7337
Oel,OE_Lei_lei_0003,non-roadside,quiet,7324
Oel,OE_Lei_lei_0004,non-roadside,quiet,6938
Oel,OE_Lei_lei_0004,non-roadside,quiet,7011
Oel,OE_Lei_lei_0005,non-roadside,quiet,7490
Oel,OE_Lei_lei_0005,non-roadside,quiet,7829
Oel,OE_Lei_lei_0005,non-roadside,quiet,7587
Oel,OE_Lei_lei_0006,non-roadside,quiet,6677
Oel,OE_Lei_lei_0006,non-roadside,quiet,6206
