indID,ID,treatment,date,trackID,sex,starttime,interval,gps.num,index,waypt,flag,latitude,longitude,behavior,nect.plant,habitat,Chel_Plan,release.area,recorder,tracker,temp,cloudcover,Notes,Notes2,track_num,track_flag,time,eastings,northings,Edisp,Ndisp,step,angle,turnangle,angleradians,cosangle,virgin_mated,IsDate,inithost,finhost,doy,firstmarked,doy_1stMark,app.age,age.dev,doy.dev
R-LBG,2013-6-29-12-72,P_T,29-Jun,29-Jun_R-LBG,Female,3:23pm,15,1,94,684,3,42.485497,-71.56853,b,fern,wetland,none,dorm 12,Lee,Elizabeth,81,partly sunny,virgin,,14,14_3,15,288898.7396,4706879.663,-0.174478674,-0.328164129,5.786317168,-152.0012643,1.704036417,0.029741046,0.999557768,virgin,6/29/13,P,T,6,6/29/13,6,0,-1.266106443,-5.894957983
R-LBG,2013-6-29-12-72,P_T,29-Jun,29-Jun_R-LBG,Female,3:23pm,15,1,171,685,4,42.485451,-71.568563,p,yarrow,wetland,none,dorm 12,Lee,Elizabeth,81,partly sunny,virgin,,14,14_4,2340,288895.8725,4706874.637,-2.867124177,-5.026038731,8.962182622,-150.2972279,324.6524366,5.666253943,0.815657607,virgin,6/29/13,P,T,6,6/29/13,6,0,-1.266106443,-5.894957983
R-LBG,2013-6-29-12-72,P_T,29-Jun,29-Jun_R-LBG,Female,3:23pm,15,1,173,686,5,42.485371,-71.568549,p,poison ivy,upland,none,dorm 12,Lee,Elizabeth,81,partly sunny,virgin,,14,14_5,15,288896.754,4706865.718,0.881528292,-8.918723295,6.183267808,174.3552087,-78.49834177,-1.370054521,0.199396295,virgin,6/29/13,P,T,6,6/29/13,6,0,-1.266106443,-5.894957983
R-LBG,2013-6-29-12-72,P_T,29-Jun,29-Jun_R-LBG,Female,3:23pm,15,1,199,687,6,42.485367,-71.568474,c,na,upland,none,dorm 12,Lee,Elizabeth,81,partly sunny,virgin,,14,14_6,1155,288902.905,4706865.088,6.150990648,-0.630963416,9.608987684,95.85686698,8.568614924,0.149550543,0.988838144,virgin,6/29/13,P,T,6,6/29/13,6,0,-1.266106443,-5.894957983
R-LBG,2013-6-29-12-72,P_T,29-Jun,29-Jun_R-LBG,Female,3:23pm,15,1,200,693,7,42.485348,-71.56836,c,na,upland,none,dorm 12,Lee,Elizabeth,81,partly sunny,virgin,,14,14_7,30,288912.211,4706862.694,9.306039962,-2.393797097,15.26406336,104.4254819,-98.3647838,-1.716789345,-0.145474956,virgin,6/29/13,P,T,6,6/29/13,6,0,-1.266106443,-5.894957983
R-LBG,2013-6-29-12-72,P_T,29-Jun,29-Jun_R-LBG,Female,3:23pm,15,1,201,688,8,42.485485,-71.568346,c,na,upland,none,dorm 12,Lee,Elizabeth,81,partly sunny,virgin,,14,14_8,390,288913.8227,4706877.872,1.611610074,15.17874643,0.605420236,6.060698102,-141.5507217,-2.470526153,-0.783158938,virgin,6/29/13,P,T,6,6/29/13,6,0,-1.266106443,-5.894957983
R-LBG,2013-6-29-12-72,P_T,29-Jun,29-Jun_R-LBG,Female,3:23pm,15,1,202,689,9,42.485481,-71.568351,c,na,upland,none,dorm 12,Lee,Elizabeth,81,partly sunny,virgin,,14,14_9,15,288913.3982,4706877.441,-0.424419834,-0.431742362,3.615524576,-135.4900236,-32.29134517,-0.563590293,0.84534254,virgin,6/29/13,P,T,6,6/29/13,6,0,-1.266106443,-5.894957983
R-LBG,2013-6-29-12-72,P_T,29-Jun,29-Jun_R-LBG,Female,3:23pm,15,1,203,690,10,42.485449,-71.568359,c,na,upland,none,dorm 12,Lee,Elizabeth,81,partly sunny,virgin,,14,14_10,15,288912.633,4706873.907,-0.765199084,-3.53362255,7.565999169,-167.7813688,258.6752921,4.51473554,-0.196369001,virgin,6/29/13,P,T,6,6/29/13,6,0,-1.266106443,-5.894957983
R-LBG,2013-6-29-12-72,P_T,29-Jun,29-Jun_R-LBG,Female,3:23pm,15,1,204,691,11,42.48545,-71.568267,c,na,upland,none,dorm 12,Lee,Elizabeth,81,partly sunny,virgin,,14,14_11,15,288920.1981,4706873.789,7.565078333,-0.118039208,4.444728001,90.89392328,-268.0986009,-4.679203306,-0.033179584,virgin,6/29/13,P,T,6,6/29/13,6,0,-1.266106443,-5.894957983
R-LBG,2013-6-29-12-72,P_T,29-Jun,29-Jun_R-LBG,Female,3:23pm,15,1,205,692,12,42.48541,-71.568268,m,celastrus,upland,none,dorm 12,Lee,Elizabeth,81,partly sunny,virgin,,14,14_12,15,288919.9814,4706869.35,-0.216761504,-4.439439317,NA,-177.2046776,NA,NA,NA,virgin,6/29/13,P,T,6,6/29/13,6,0,-1.266106443,-5.894957983
R-GGGR,2013-6-29-BW-40,W,30-Jun,30-Jun_R-GGGR,Female,10:20am,15,1,1,696,1,42.485088,-71.568688,f,cup,upland,Plantago,area 3,Natalie,Emma,82,mostly sunny,mated,,15,15_1,15,288884.377,4706834.638,NA,NA,8.013276622,NA,NA,NA,NA,mated,6/30/13,W,W,7,6/29/13,6,1,-0.266106443,-4.894957983
R-GGGR,2013-6-29-BW-40,W,30-Jun,30-Jun_R-GGGR,Female,10:20am,15,1,2,697,2,42.485027,-71.56874,f,n/a,upland,Plantago,area 3,Natalie,Emma,82,mostly sunny,mated,,15,15_2,30,288879.8977,4706827.994,-4.47929104,-6.644437824,3.668440507,-146.0144569,-17.97515314,-0.313725606,0.951190435,mated,6/30/13,W,W,7,6/29/13,6,1,-0.266106443,-4.894957983
R-GGGR,2013-6-29-BW-40,W,30-Jun,30-Jun_R-GGGR,Female,10:20am,15,1,3,698,3,42.484995,-71.568751,p,plantago,upland,Plantago,area 3,Natalie,Emma,82,mostly sunny,mated,,15,15_3,15,288878.8859,4706824.467,-1.011798688,-3.526147922,0.541110973,-163.98961,279.9698226,4.88639521,0.17312946,mated,6/30/13,W,W,7,6/29/13,6,1,-0.266106443,-4.894957983
R-GGGR,2013-6-29-BW-40,W,30-Jun,30-Jun_R-GGGR,Female,10:20am,15,1,166,699,4,42.484993,-71.568745,f,n/a,upland,Plantago,area 3,Natalie,Emma,82,mostly sunny,mated,,15,15_4,90,288879.3723,4706824.23,0.486429213,-0.237039461,1.390222155,115.9802126,-164.5036878,-2.871130983,-0.963647652,mated,6/30/13,W,W,7,6/29/13,6,1,-0.266106443,-4.894957983
