trackID,date,indID,sex,starttime,interval,gps.num,index,waypt,flag,lat,lon,behavior,nect.plant,habitat,Chel_Plan,release.area,recorder,tracker,temp,cloudcover,Notes,X,track_num,track_flag,time
29-Jun_R-SGB,29-Jun,R-SGB,Female,12:34pm,15,1,19,667,4,42.484926,-71.569041,f,na,upland,P,dorm 41,Lee,Natasha/Elizabeth,80,partly sunny,virgin,,12,12_4,15
29-Jun_R-SGB,29-Jun,R-SGB,Female,12:34pm,15,1,20,665,5,42.484975,-71.569164,f,na,upland,no,dorm 41,Lee,Natasha/Elizabeth,80,partly sunny,virgin,,12,12_5,15
29-Jun_R-SGB,29-Jun,R-SGB,Female,12:34pm,15,1,21,666,6,42.48497,-71.569184,m,grass,upland,no,dorm 41,Lee,Natasha/Elizabeth,80,partly sunny,virgin,,12,12_6,5100
29-Jun_L-GLR,29-Jun,L-GLR,Female,2:32pm,15,1,1,677,1,42.484484,-71.569266,b,cup,wetland,T,dorm 25,Lee,Elizabeth,80,partly sunny,virgin,,13,13_1,1650
29-Jun_L-GLR,29-Jun,L-GLR,Female,2:32pm,15,1,111,678,2,42.484671,-71.569105,f,na,wetland,no,dorm 25,Lee,Elizabeth,80,partly sunny,virgin,,13,13_2,15
29-Jun_L-GLR,29-Jun,L-GLR,Female,2:32pm,15,1,112,679,3,42.484711,-71.569079,c,na,wetland,no,dorm 25,Lee,Elizabeth,80,partly sunny,virgin,,13,13_3,15
29-Jun_L-GLR,29-Jun,L-GLR,Female,2:32pm,15,1,113,680,4,42.484722,-71.569072,m,Aster,wetland,no,dorm 25,Lee,Elizabeth,80,partly sunny,virgin,,13,13_4,3720
29-Jun_R-LBG,29-Jun,R-LBG,Female,3:23pm,15,1,1,682,1,42.485506,-71.568475,p,cup,wetland,T,dorm 12,Lee,Elizabeth,81,partly sunny,virgin,,14,14_1,1380
29-Jun_R-LBG,29-Jun,R-LBG,Female,3:23pm,15,1,93,683,2,42.4855,-71.568528,p,Aster,wetland,no,dorm 12,Lee,Elizabeth,81,partly sunny,virgin,,14,14_2,15
29-Jun_R-LBG,29-Jun,R-LBG,Female,3:23pm,15,1,94,684,3,42.485497,-71.56853,b,fern,wetland,no,dorm 12,Lee,Elizabeth,81,partly sunny,virgin,,14,14_3,15
29-Jun_R-LBG,29-Jun,R-LBG,Female,3:23pm,15,1,171,685,4,42.485451,-71.568563,p,yarrow,wetland,no,dorm 12,Lee,Elizabeth,81,partly sunny,virgin,,14,14_4,2340
29-Jun_R-LBG,29-Jun,R-LBG,Female,3:23pm,15,1,173,686,5,42.485371,-71.568549,p,poison ivy,upland,no,dorm 12,Lee,Elizabeth,81,partly sunny,virgin,,14,14_5,15
29-Jun_R-LBG,29-Jun,R-LBG,Female,3:23pm,15,1,199,687,6,42.485367,-71.568474,c,na,upland,no,dorm 12,Lee,Elizabeth,81,partly sunny,virgin,,14,14_6,1155
29-Jun_R-LBG,29-Jun,R-LBG,Female,3:23pm,15,1,200,693,7,42.485348,-71.56836,c,na,upland,no,dorm 12,Lee,Elizabeth,81,partly sunny,virgin,,14,14_7,30
